subject,hand,comparison,distance
28,left,D1_D2,0.02911136
28,left,D1_D3,0.2047836
28,left,D1_D4,0.188834
28,left,D1_D5,0.2716798
28,left,D2_D3,0.2145792
28,left,D2_D4,0.3138752
28,left,D2_D5,0.3720725
28,left,D3_D4,0.05314167
28,left,D3_D5,0.1197475
28,left,D4_D5,0.09099945
28,right,D1_D2,0.3095696
28,right,D1_D3,0.3642316
28,right,D1_D4,0.3819101
28,right,D1_D5,0.5388364
28,right,D2_D3,0.2395538
28,right,D2_D4,0.2821274
28,right,D2_D5,0.37464
28,right,D3_D4,0.05345904
28,right,D3_D5,0.2796259
28,right,D4_D5,0.1887366
