subject,hand,comparison,distance
30,left,D1_D2,0.1350094
30,left,D1_D3,0.2313346
30,left,D1_D4,0.2603585
30,left,D1_D5,0.253825
30,left,D2_D3,0.07299952
30,left,D2_D4,0.1600733
30,left,D2_D5,0.1832509
30,left,D3_D4,0.1126655
30,left,D3_D5,0.149883
30,left,D4_D5,0.04952564
30,right,D1_D2,0.1282441
30,right,D1_D3,0.3191709
30,right,D1_D4,0.2069814
30,right,D1_D5,0.2737078
30,right,D2_D3,0.07591917
30,right,D2_D4,0.1117574
30,right,D2_D5,0.1459212
30,right,D3_D4,0.06976102
30,right,D3_D5,0.1345577
30,right,D4_D5,-0.0003724448
