subject,hand,comparison,volume_a,volume_b,overlap
30,left,D1_D2,1278,1110,453
30,left,D1_D3,1278,1009,361
30,left,D1_D4,1278,1716,387
30,left,D1_D5,1278,642,157
30,left,D2_D3,1110,1009,506
30,left,D2_D4,1110,1716,624
30,left,D2_D5,1110,642,205
30,left,D3_D4,1009,1716,641
30,left,D3_D5,1009,642,254
30,left,D4_D5,1716,642,570
30,right,D1_D2,1157,1156,548
30,right,D1_D3,1157,1948,657
30,right,D1_D4,1157,382,106
30,right,D1_D5,1157,1064,316
30,right,D2_D3,1156,1948,860
30,right,D2_D4,1156,382,260
30,right,D2_D5,1156,1064,538
30,right,D3_D4,1948,382,308
30,right,D3_D5,1948,1064,776
30,right,D4_D5,382,1064,298
