subject,hand,comparison,volume_a,volume_b,overlap
37,left,D1_D2,2274,2320,1672
37,left,D1_D3,2274,2450,1608
37,left,D1_D4,2274,1144,882
37,left,D1_D5,2274,3161,1835
37,left,D2_D3,2320,2450,1706
37,left,D2_D4,2320,1144,902
37,left,D2_D5,2320,3161,1830
37,left,D3_D4,2450,1144,1011
37,left,D3_D5,2450,3161,2057
37,left,D4_D5,1144,3161,1124
37,right,D1_D2,732,874,247
37,right,D1_D3,732,2038,433
37,right,D1_D4,732,926,203
37,right,D1_D5,732,922,170
37,right,D2_D3,874,2038,663
37,right,D2_D4,874,926,295
37,right,D2_D5,874,922,218
37,right,D3_D4,2038,926,802
37,right,D3_D5,2038,922,732
37,right,D4_D5,926,922,575
