subject,hand,digit,voxel_count,min,ten_percentile,mean,median,ninety_percentile,max,stddev,vox_x,vox_y,vox_z,mm_x,mm_y,mm_z
46,left,D1,8936,-1.493,-0.4524,-0.05718,-0.0642,0.3458,3.396,0.3535,126,111,143,-36,-15,71
46,left,D1,9293,-0.9487,-0.1523,0.5245,0.29,1.37,18.17,0.9787,46,113,139,44,-13,67
46,left,D2,8936,-3.187,-0.7735,-0.2803,-0.2507,0.1857,1.398,0.4152,149,109,123,-59,-17,51
46,left,D2,9293,-2.204,-0.4349,0.1155,0.05058,0.5983,10.72,0.6471,46,113,139,44,-13,67
46,left,D3,8936,-6.496,-0.8049,-0.2594,-0.211,0.2524,1.612,0.4912,150,111,120,-60,-15,48
46,left,D3,9293,-2.766,-0.2044,0.4501,0.2778,1.155,17.26,0.9212,45,113,139,45,-13,67
46,left,D4,8936,-1.423,-0.2658,0.08858,0.07456,0.4595,2.528,0.3184,126,111,143,-36,-15,71
46,left,D4,9293,-0.7294,-0.05367,0.4828,0.318,1.099,12.64,0.7621,45,113,139,45,-13,67
46,left,D5,8936,-3.289,-0.5313,-0.09662,-0.06351,0.3221,1.306,0.3761,150,111,120,-60,-15,48
46,left,D5,9293,-0.8353,-0.113,0.4945,0.2939,1.18,15.86,0.8825,45,113,139,45,-13,67
46,right,D1,8936,-2.067,-0.4061,0.2862,0.1808,1.043,9.684,0.7017,135,111,138,-45,-15,66
46,right,D1,9293,-7.118,-0.8424,-0.2186,-0.2023,0.3819,3.244,0.5708,42,121,133,48,-5,61
46,right,D2,8936,-0.6615,-0.0307,0.6119,0.4473,1.301,16.29,0.8041,135,111,138,-45,-15,66
46,right,D2,9293,-5.489,-0.2468,0.1681,0.114,0.5911,3.639,0.4272,44,121,135,46,-5,63
46,right,D3,8936,-0.9101,-0.2333,0.3833,0.2346,1.081,17.48,0.7309,135,111,138,-45,-15,66
46,right,D3,9293,-6.61,-0.31,0.1145,0.02251,0.516,11.88,0.6085,45,119,136,45,-7,64
46,right,D4,8936,-1.016,-0.1926,0.383,0.2643,1.055,12.55,0.6277,135,111,138,-45,-15,66
46,right,D4,9293,-5.283,-0.5303,-0.09055,-0.1115,0.3556,5.414,0.4439,45,119,136,45,-7,64
46,right,D5,8936,-1.831,-0.3431,0.1545,0.06723,0.7701,6.071,0.4987,135,111,138,-45,-15,66
46,right,D5,9293,-3.781,-0.7175,-0.2522,-0.2321,0.1709,3.494,0.4255,44,121,135,46,-5,63
