subject,hand,trial,digit,absolute_error
5,left,1,D4,4.678199110930521
5,left,2,D3,8.347939458220118
5,left,3,D4,17.63720307887692
5,left,4,D2,14.408756826191825
5,left,5,D4,18.134496455848154
5,left,6,D1,10.833661210185838
5,left,7,D5,4.737999392927389
5,left,8,D3,30.423022709817406
5,left,9,D5,5.0574651258493395
5,left,10,D3,26.80199609516419
5,left,11,D5,9.201313768172426
5,left,12,D1,19.912715812245953
5,left,13,D3,24.347693720439384
5,left,14,D4,4.334542991255522
5,left,15,D2,2.2339643457773803
5,left,16,D5,3.895065733605087
5,left,17,D2,7.457285960444207
5,left,18,D2,4.40200240854517
5,left,19,D2,4.791915615727373
5,left,20,D4,15.251596768987858
5,left,21,D1,16.065127685342542
5,left,22,D3,20.404765561007025
5,left,23,D5,1.5097395647764726
5,left,24,D2,3.949708990925097
5,left,25,D5,10.57378094608729
5,left,26,D3,32.110183207914645
5,left,27,D2,14.229135769597862
5,left,28,D4,13.914641761299556
5,left,29,D3,7.804166402683417
5,left,30,D4,10.404664904166838
5,left,31,D5,7.99780060483367
5,left,32,D1,6.256618262720562
5,left,33,D3,2.3610681886762803
5,left,34,D5,8.669704792624886
5,left,35,D2,11.56051821171338
5,left,36,D4,15.44648214118555
5,left,37,D4,11.61159667945717
5,left,38,D5,7.204986141397105
5,left,39,D1,12.730864389523056
5,left,40,D2,2.9155318365063483
5,left,41,D1,10.667568313901098
5,left,42,D2,57.98153778920397
5,left,43,D2,5.989063966412217
5,left,44,D3,6.873066896393401
5,left,45,D4,44.64849983239383
5,left,46,D4,4.5072725229105775
5,left,47,D3,4.882006940378534
5,left,48,D3,21.23409763172796
5,left,49,D5,8.478034752757711
5,left,50,D4,1.0595131892287954
5,left,51,D3,5.931528026027797
5,left,52,D2,3.3411613146061554
5,left,53,D5,4.239017376378856
5,left,54,D5,3.0194791295529453
5,left,55,D2,7.497415791943535
5,left,56,D5,2.665933534944557
5,left,57,D4,7.29270930584252
5,left,58,D3,17.950983633461977
5,left,59,D3,4.024963450075115
5,left,60,D2,4.820151668200717
5,left,61,D5,11.852210783979453
5,left,62,D1,6.212289575572031
5,left,63,D3,3.374689035040343
5,left,64,D3,29.762082330961288
5,left,65,D5,4.181013211517069
5,left,66,D5,9.764013880757068
5,left,67,D4,5.815378420406938
5,left,68,D2,4.647154645180681
5,left,69,D2,16.01710258813781
5,left,70,D4,6.70634796907472
5,left,71,D4,12.158918558282839
5,left,72,D1,15.511152049877284
5,left,73,D1,12.646100391311046
5,left,74,D5,12.851176102065406
5,left,75,D3,16.7624763398432
5,left,76,D3,5.163639651987564
5,left,77,D2,5.635693281386295
5,left,78,D2,8.927311501084947
5,left,79,D1,13.018242775591762
5,left,80,D4,5.286697134057169
5,left,81,D3,28.76053198326497
5,left,82,D4,6.50264319462752
5,left,83,D4,12.608725747444934
5,left,84,D3,5.137809220649646
5,left,85,D5,0.6562579255894344
5,left,86,D4,10.040373637695126
5,left,87,D2,3.374689035040343
5,left,88,D5,2.2978167595962775
5,left,89,D2,12.579118977208834
5,left,90,D5,1.8834043368435436
5,right,1,D4,5.403739606047829
5,right,2,D3,9.058437388658835
5,right,3,D4,18.562675892754562
5,right,4,D2,3.852248382779874
5,right,5,D4,5.989063966412217
5,right,6,D1,3.4318452090281255
5,right,7,D5,0.4165045480723355
5,right,8,D3,1.3216742835142923
5,right,9,D5,2.9873489580141106
5,right,10,D3,34.43438564665704
5,right,11,D5,3.6786446056214857
5,right,12,D1,5.250063404715475
5,right,13,D3,5.278747320516461
5,right,14,D4,5.363929314045808
5,right,15,D2,2.387739415250759
5,right,16,D5,1.0595131892287954
5,right,17,D2,3.908776503148376
5,right,18,D2,0.29280165432934696
5,right,19,D2,2.6518108418220803
5,right,20,D4,9.26894084128615
5,right,21,D1,4.856881739821395
5,right,22,D3,21.791817011683047
5,right,23,D5,2.97658458429654
5,right,24,D2,2.97658458429654
5,right,25,D5,3.1852861596945794
5,right,26,D3,9.518176651612606
5,right,27,D2,9.182659953697918
5,right,28,D4,1.7126030735498818
5,right,29,D3,5.054567037982998
5,right,30,D4,2.9118596383050503
5,right,31,D5,1.8012465353492761
5,right,32,D1,5.076510013389129
5,right,33,D3,29.59207787988907
5,right,34,D5,8.045893971068711
5,right,35,D2,4.25698541824038
5,right,36,D4,18.379968070705278
5,right,37,D4,16.831256134771603
5,right,38,D5,10.109538511361553
5,right,39,D1,4.777929239541868
5,right,40,D2,1.7126030735498818
5,right,41,D1,3.128309131360281
5,right,42,D2,8.19664828334537
5,right,43,D2,9.912557126357191
5,right,44,D3,29.868629226207826
5,right,45,D4,3.6024930706985523
5,right,46,D4,4.1196997528269685
5,right,47,D3,5.137809220649646
5,right,48,D3,36.88677959172924
5,right,49,D5,1.7772890232963712
5,right,50,D4,11.917664762181095
5,right,51,D3,5.628081907105176
5,right,52,D2,6.214472098585915
5,right,53,D5,4.529218694329417
5,right,54,D5,9.187326958045276
5,right,55,D2,4.7394373954569895
5,right,56,D5,3.041467052623132
5,right,57,D4,2.7854778630989143
5,right,58,D3,12.205741924911907
5,right,59,D3,19.5558218403529
5,right,60,D2,4.40200240854517
5,right,61,D5,5.422787506114759
5,right,62,D1,6.102508675473167
5,right,63,D3,7.99780060483367
5,right,64,D3,5.010566383923269
5,right,65,D5,2.073503860512433
5,right,66,D5,11.044197624657098
5,right,67,D4,4.157331577709175
5,right,68,D2,5.390250519216208
5,right,69,D2,9.550957661003036
5,right,70,D4,12.851176102065406
5,right,71,D4,11.630257371746847
5,right,72,D1,4.141811613248026
5,right,73,D1,4.109911647502341
5,right,74,D5,10.773056082969184
5,right,75,D3,9.00623267674638
5,right,76,D3,18.68954637343299
5,right,77,D2,9.944336480381107
5,right,78,D2,1.4810741860803094
5,right,79,D1,4.452859700331805
5,right,80,D4,4.913454034511572
5,right,81,D3,23.40696031773927
5,right,82,D4,12.700965498498997
5,right,83,D4,20.77319907246494
5,right,84,D3,19.72253964138832
5,right,85,D5,2.387739415250759
5,right,86,D4,3.022902290133051
5,right,87,D2,3.965022850542877
5,right,88,D5,7.204986141397105
5,right,89,D2,5.989063966412217
5,right,90,D5,5.3399006788278305
