subject,hand,run,volume,displacement
54,left,1,1,0.337094
54,left,1,2,0.276851
54,left,1,3,0.272812
54,left,1,4,0.308613
54,left,1,5,0.224485
54,left,1,6,0.282008
54,left,1,7,0.262048
54,left,1,8,0.243686
54,left,1,9,0.264036
54,left,1,10,0.213949
54,left,1,11,0.246377
54,left,1,12,0.232138
54,left,1,13,0.224211
54,left,1,14,0.25474
54,left,1,15,0.17157
54,left,1,16,0.205924
54,left,1,17,0.220939
54,left,1,18,0.1585
54,left,1,19,0.200174
54,left,1,20,0.190689
54,left,1,21,0.148353
54,left,1,22,0.203633
54,left,1,23,0.152474
54,left,1,24,0.143592
54,left,1,25,0.192442
54,left,1,26,0.120586
54,left,1,27,0.148216
54,left,1,28,0.173125
54,left,1,29,0.130446
54,left,1,30,0.160095
54,left,1,31,0.142912
54,left,1,32,0.116356
54,left,1,33,0.163652
54,left,1,34,0.102325
54,left,1,35,0.157922
54,left,1,36,0.142805
54,left,1,37,0.107167
54,left,1,38,0.170799
54,left,1,39,0.0971599
54,left,1,40,0.110332
54,left,1,41,0.151171
54,left,1,42,0.0633823
54,left,1,43,0.121502
54,left,1,44,0.116437
54,left,1,45,0.0941243
54,left,1,46,0.141396
54,left,1,47,0.0654783
54,left,1,48,0.106103
54,left,1,49,0.0963902
54,left,1,50,0.0856039
54,left,1,51,0.127436
54,left,1,52,0.0773761
54,left,1,53,0.134474
54,left,1,54,0.0779736
54,left,1,55,0.0643293
54,left,1,56,0.130681
54,left,1,57,0.0671661
54,left,1,58,0.0988861
54,left,1,59,0.135824
54,left,1,60,0.00667127
54,left,1,61,0.0769577
54,left,1,62,0.111829
54,left,1,63,0.0464428
54,left,1,64,0.0835481
54,left,1,65,0.0641503
54,left,1,66,0.0609405
54,left,1,67,0.093259
54,left,1,68,0.0463475
54,left,1,69,0.0730557
54,left,1,70,0.0752188
54,left,1,71,0.0621319
54,left,1,72,0.106726
54,left,1,73,0.119867
54,left,1,74,0.0900389
54,left,1,75,0.0742185
54,left,1,76,0.0993402
54,left,1,77,0.129585
54,left,1,78,0.0918594
54,left,1,79,0.128657
54,left,1,80,0.105047
54,left,1,81,0.104003
54,left,1,82,0.145832
54,left,1,83,0.109823
54,left,1,84,0.13536
54,left,1,85,0.131227
54,left,1,86,0.102926
54,left,1,87,0.156376
54,left,1,88,0.113862
54,left,1,89,0.157922
54,left,1,90,0.143763
54,left,1,91,0.122427
54,left,1,92,0.154144
54,left,1,93,0.124647
54,left,1,94,0.162339
54,left,1,95,0.158855
54,left,1,96,0.128587
54,left,1,97,0.173833
54,left,1,98,0.160416
54,left,1,99,0.143592
54,left,1,100,0.218708
54,left,1,101,0.175692
54,left,1,102,0.168085
54,left,1,103,0.226211
54,left,1,104,0.170776
54,left,1,105,0.20315
54,left,1,106,0.225198
54,left,1,107,0.170684
54,left,1,108,0.230772
54,left,1,109,0.218809
54,left,1,110,0.185513
54,left,1,111,0.244405
54,left,1,112,0.220212
54,left,1,113,0.188007
54,left,1,114,0.283249
54,left,1,115,0.214025
54,left,1,116,0.229201
54,left,1,117,0.260441
54,left,1,118,0.209759
54,left,2,1,0.243722
54,left,2,2,0.299847
54,left,2,3,0.263744
54,left,2,4,0.193229
54,left,2,5,0.229167
54,left,2,6,0.230854
54,left,2,7,0.202895
54,left,2,8,0.258895
54,left,2,9,0.174783
54,left,2,10,0.242603
54,left,2,11,0.169184
54,left,2,12,0.219326
54,left,2,13,0.200845
54,left,2,14,0.187295
54,left,2,15,0.244778
54,left,2,16,0.134623
54,left,2,17,0.20273
54,left,2,18,0.191888
54,left,2,19,0.168236
54,left,2,20,0.236253
